SampleID,Tissue,Treatment,Replicate,Sex,Age_weeks,Gene,Expression,QC_pass,BatchID
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Actb,6.4784,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gapdh,6.0339,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Rplp0,6.42,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,B2m,6.2298,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Hprt,5.904,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Pgk1,5.7482,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Sdha,5.969,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Tbp,6.5743,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Ywhaz,6.5031,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Eif4a2,5.9644,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Snap25,7.416,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Syp,7.8427,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Map2,9.2482,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Gfap,9.2872,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Mbp,9.1362,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Nestin,8.3915,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Camk2a,8.3383,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Tubb3,9.3541,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Nefl,9.6189,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Chrna4,8.2909,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Alb,0.0844,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Cyp2e1,0.3462,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Fabp1,1.0893,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,G6pc,0.0,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Apob,0.7398,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Hmgcr,0.8081,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Tat,0.7214,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Sds,0.0,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Arg1,0.0,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Pck1,0.5144,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Myh4,0.0,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Actn2,0.6395,True,Batch1
Br_Con_M_Rep1,Brain,Control,1,Male,10.5,Tnni2,2.2722,True,Batch1
